G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_08_682.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_08_682.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_08_682.jpg,0,0,0,7.188056E-06
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_08_753.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_08_753.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_08_753.jpg,0,0,0,1.074897E-05
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_08_821.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_08_821.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_08_821.jpg,0,0,0,1.639771E-05
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_08_890.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_08_890.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_08_890.jpg,0,0,0,6.457884E-06
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_08_958.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_08_958.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_08_958.jpg,0,0.0237813,0,0.008327578
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_09_029.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_09_029.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_09_029.jpg,0,0.2602836,0,0.1479621
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_09_097.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_09_097.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_09_097.jpg,0,0.4421067,0,0.4295104
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_09_168.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_09_168.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_09_168.jpg,0,0.6785928,0,0.9738648
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_09_238.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_09_238.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_09_238.jpg,0,0.8637768,0,1.548082
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_09_308.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_09_308.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_09_308.jpg,0,1,0,2.473376
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_09_378.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_09_378.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_09_378.jpg,0,1,0,3.178295
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_09_449.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_09_449.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_09_449.jpg,-0.2,1,0,4.111537
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_09_523.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_09_523.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_09_523.jpg,-0.35,1,0,4.799646
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_09_592.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_09_592.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_09_592.jpg,0,1,0,5.697408
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_09_664.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_09_664.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_09_664.jpg,0,1,0,6.614883
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_09_735.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_09_735.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_09_735.jpg,0,1,0,7.300345
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_09_808.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_09_808.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_09_808.jpg,0,1,0,8.208218
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_09_877.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_09_877.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_09_877.jpg,-0.15,1,0,8.879237
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_09_949.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_09_949.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_09_949.jpg,-0.35,1,0,9.744615
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_10_020.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_10_020.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_10_020.jpg,-0.5000001,1,0,10.36967
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_10_092.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_10_092.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_10_092.jpg,0,1,0,11.16789
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_10_162.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_10_162.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_10_162.jpg,0,1,0,11.62436
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_10_233.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_10_233.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_10_233.jpg,0,1,0,12.51974
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_10_306.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_10_306.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_10_306.jpg,0,1,0,13.52554
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_10_376.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_10_376.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_10_376.jpg,-0.1,1,0,14.11945
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_10_449.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_10_449.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_10_449.jpg,-0.3,1,0,14.94725
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_10_521.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_10_521.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_10_521.jpg,-0.45,1,0,15.59012
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_10_593.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_10_593.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_10_593.jpg,-0.6500001,1,0,16.3357
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_10_666.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_10_666.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_10_666.jpg,0,1,0,17.01478
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_10_734.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_10_734.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_10_734.jpg,0,1,0,17.57489
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_10_805.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_10_805.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_10_805.jpg,0,1,0,18.35563
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_10_874.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_10_874.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_10_874.jpg,0,1,0,19.07266
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_10_945.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_10_945.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_10_945.jpg,0,1,0,19.88479
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_11_017.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_11_017.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_11_017.jpg,-0.05,1,0,20.39024
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_11_087.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_11_087.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_11_087.jpg,-0.25,1,0,21.181
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_11_156.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_11_156.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_11_156.jpg,-0.4,1,0,21.77896
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_11_226.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_11_226.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_11_226.jpg,0,1,0,22.51448
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_11_295.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_11_295.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_11_295.jpg,0,1,0,23.07523
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_11_369.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_11_369.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_11_369.jpg,0,1,0,23.86086
G:\Programing\AI\Self_Driving\data\IMG\center_2020_08_01_10_57_11_440.jpg,G:\Programing\AI\Self_Driving\data\IMG\left_2020_08_01_10_57_11_440.jpg,G:\Programing\AI\Self_Driving\data\IMG\right_2020_08_01_10_57_11_440.jpg,0,1,0,24.44796
